,OPEN,HIGH,LOW,CLOSE,SETTLE,VOLUME,OI
20221025,1981.251575102855,1982.5914657082,1961.1532160226864,1975.8920126814767,1971.425710663661,80084.0,144947.0
20221026,1980.8049449010728,1981.6982053046365,1929.4424716961976,1933.0155133104504,1950.4340911799293,123358.0,146991.0
20221027,1933.9087737140135,1944.1812683549883,1920.0632374587854,1924.529539476601,1933.4621435122322,70784.0,142949.0
20221028,1923.1896488712566,1928.1025810908527,1912.0238938267184,1921.8497582659118,1920.0632374587854,78102.0,138659.0
20221031,1946.4144193638958,1958.9200650137784,1923.636279073038,1929.4424716961976,1940.608226740736,106558.0,129943.0
20221101,1934.8020341175766,1944.1812683549883,1924.08290927482,1932.5688831086688,1933.0155133104504,80623.0,133747.0
20221102,1936.1419247229207,1945.0745287585519,1928.549211292635,1933.4621435122322,1936.5885549247025,88036.0,136627.0
20221103,1933.0155133104504,1939.2683361353922,1916.9368260463152,1937.035185126484,1930.3357320997607,89027.0,137940.0
20221104,1938.3750757318287,1942.3947475478626,1899.9648783786167,1908.450852212466,1919.6166072570045,141311.0,153042.0
20221107,1913.8104146338446,1928.549211292635,1909.3441126160287,1912.9171542302813,1917.3834562480965,86976.0,150196.0
20221108,1911.577263624937,1922.743018669475,1900.411508580399,1902.6446595893067,1912.0238938267184,82993.0,150947.0
20221109,1904.8778105982144,1921.4031280641304,1895.9452065625835,1914.7036750374075,1910.6840032213736,76216.0,146244.0
20221110,1907.1109616071208,1913.8104146338446,1898.178357571491,1906.2177012035584,1905.3244407999955,71923.0,145498.0
20221111,1907.1109616071208,1910.6840032213736,1891.9255347465494,1901.3047689839616,1903.5379199928693,89227.0,150735.0
20221114,1893.7120555536762,1930.7823623015424,1880.7597797020114,1930.3357320997607,1903.091289791088,111275.0,146961.0
20221115,1928.9958414944165,1937.928445530047,1916.0435656427521,1936.5885549247025,1928.1025810908527,95041.0,141427.0
20221116,1938.3750757318287,1953.113872390619,1937.035185126484,1945.521158960333,1944.6278985567687,80120.0,139833.0
20221117,1945.0745287585519,1950.8807213817115,1932.5688831086688,1940.1615965389549,1941.501487144299,55390.0,137857.0
20221118,1938.3750757318287,1940.608226740736,1894.1586857554569,1900.8581387821805,1912.4705240285,121783.0,140256.0
20221121,1909.7907428178107,1964.7262576369385,1905.771071001777,1957.1335442066531,1937.4818153282654,152093.0,133201.0
20221122,1960.7065858209048,1974.5521220761325,1947.7543099692405,1961.5998462244681,1961.1532160226864,100271.0,132228.0
20221123,1957.5801744084345,1965.17288783872,1949.987460978148,1960.2599556191235,1956.6869140048711,61519.0,132245.0
20221124,1962.493106628031,1993.310590550956,1954.0071327941805,1990.630809340268,1971.8723408654432,97729.0,135758.0
20221125,1983.4847261117627,1998.6701529723346,1975.8920126814767,1983.0380959099807,1984.8246167171078,79411.0,132807.0
20221128,1973.6588616725687,1987.5043979277966,1962.9397368298125,1977.6785334886026,1977.2319032868213,68419.0,130193.0
20221129,1978.1251636903849,1982.5914657082,1937.4818153282654,1947.3076797674591,1959.8133254173413,122087.0,111037.0
20221130,1945.0745287585519,1951.7739817852744,1927.2093206872908,1934.8020341175766,1940.1615965389549,77710.0,99645.0
20221201,1938.8217059336105,1960.2599556191235,1933.9087737140135,1936.5885549247025,1944.6278985567687,69037.0,93106.0
20221202,1939.7149663371729,1951.3273515834928,1931.228992503324,1944.6278985567687,1943.2880079514248,53028.0,90158.0
20221205,1959.3666952155606,2016.981991245377,1956.6869140048711,2007.1561268061841,1990.1841791384848,116281.0,93705.0
20221206,2009.835908016873,2015.6421006400326,1998.6701529723346,2004.0297153937129,2006.2628664026208,51426.0,92490.0
20221207,2009.835908016873,2015.195470438251,1987.5043979277966,1995.0971113580829,2000.4566737794607,55801.0,91356.0
20221208,1999.5634133758965,2005.3696059990573,1971.8723408654432,1983.9313563135447,1986.6111375242333,57877.0,87284.0
20221209,1976.3386428832584,1995.9903717616453,1958.9200650137784,1971.8723408654432,1973.6588616725687,73050.0,82273.0
20221212,1957.1335442066531,1958.473434811997,1903.091289791088,1916.0435656427521,1923.636279073038,106951.0,65010.0
20221213,1924.9761696783826,1926.7626904855088,1906.66433140534,1908.450852212466,1916.4901958445334,55619.0,50075.0
20221214,1912.032275345869,1921.8811889627289,1904.4217511873874,1913.822986912572,1912.4799532375453,55459.0,103843.0
20221215,1910.241563779168,1922.7765447460806,1893.6774817871758,1896.8112270289043,1905.317106970738,65759.0,112299.0
20221216,1894.572837570527,1904.8694290790625,1883.8285681703157,1886.9623134120443,1891.8867702204745,64579.0,118859.0
20221219,1879.3517892535615,1898.1542607039307,1870.3982314200525,1890.0960586537728,1887.4099913037198,58681.0,123015.0
20221220,1888.7530249787467,1898.1542607039307,1865.4737746116227,1881.1425008202634,1882.0378566036145,64810.0,125514.0
20221221,1882.4855344952896,1915.6136984792734,1875.770366120157,1907.10781853744,1892.3344481121494,65546.0,120058.0
20221222,1907.10781853744,1910.241563779168,1897.25890492058,1899.4972943789567,1903.5263954040358,46105.0,119807.0
20221223,1897.25890492058,1904.8694290790625,1885.1716018453424,1887.8576691953951,1893.2298038955007,63981.0,126663.0
20221226,1872.1889429867545,1904.4217511873874,1860.101639911517,1897.25890492058,1889.6483807620968,79682.0,127203.0
20221227,1904.4217511873874,1936.2068814963445,1899.9449722706327,1928.1486794461866,1923.224222637756,86284.0,116222.0
20221228,1928.5963573378617,1929.9393910128879,1909.7938858874925,1923.6719005294322,1920.985833179379,59494.0,117791.0
20221229,1929.4917131212128,1946.50347300488,1916.9567321543,1937.1022372796954,1932.1777804712654,64297.0,114869.0
20221230,1937.1022372796954,1941.5790161964496,1922.7765447460806,1936.65455938802,1934.8638478213181,51900.0,112138.0
20230103,1937.1022372796954,1963.0675549968719,1916.5090542626244,1931.2824246879145,1938.4452709547213,92518.0,118214.0
20230104,1931.2824246879145,1940.683660413099,1917.404410045976,1936.65455938802,1930.834746796239,60015.0,115541.0
20230105,1938.4452709547213,1969.782723372004,1936.65455938802,1959.0384539717927,1955.457030838389,99914.0,123054.0
20230106,1956.3523866217402,1959.486131863468,1942.9220498714762,1956.3523866217402,1950.9802519216346,63380.0,123619.0
20230109,1956.3523866217402,1956.8000645134152,1938.4452709547213,1951.8756077049854,1948.7418624632571,47150.0,123510.0
20230110,1951.8756077049854,1966.2013002385997,1941.5790161964496,1957.6954202967663,1955.457030838389,79567.0,123860.0
20230111,1967.0966560219504,1968.8873675886528,1953.6663192716878,1963.0675549968719,1959.933809755144,43457.0,123474.0
20230112,1963.0675549968719,1973.8118243970825,1956.3523866217402,1963.5152328885474,1964.4105886718976,56868.0,128193.0
20230113,1965.7536223469244,1980.974670663889,1958.590776080117,1977.8409254221613,1969.782723372004,71096.0,128481.0
20230116,1974.7071801804334,1985.8991274723198,1968.8873675886528,1976.0502138554598,1976.497891747136,51293.0,129110.0
20230117,1978.2886033138373,1984.5560937972934,1973.364146505407,1980.079314880539,1979.183959097188,28895.0,130160.0
20230118,1978.7362812055128,1990.3759063890743,1975.1548580721087,1986.3468053639954,1983.2130601222675,40270.0,130617.0
20230119,1985.8991274723198,1997.9864305475573,1975.1548580721087,1977.8409254221613,1983.2130601222675,49649.0,126891.0
20230120,1972.4687907220568,1976.9455696388104,1960.8291655384946,1972.4687907220568,1969.335045480328,46357.0,119907.0
20230130,1993.061973739128,2005.1492768143646,1969.782723372004,1985.0037716889688,1988.5851948223728,79615.0,122695.0
20230131,1984.108415905618,1990.3759063890743,1979.183959097188,1987.6898390390213,1984.108415905618,43339.0,126646.0
